                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                  1.346,                0.85794,                 1.3102,                0.75894,                0.57534,                0.69948,                0.27523,                 2.1643,                 1.2294,                 1.8469,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.2943,                0.81768,                 1.3004,                0.74306,                0.64384,                0.69943,                0.27725,                 2.1619,                 1.2215,                 1.9061,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.2446,                0.76619,                 1.2555,                0.76524,                0.67123,                0.71699,                 0.2861,                 2.2174,                 1.2033,                 1.8787,              0.0013367,              0.0013367,              0.0013367
                     70,                  1.333,                0.80602,                 1.2483,                0.78566,                0.60257,                0.70449,                0.26573,                 2.3354,                 1.2443,                 1.9484,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.2667,                0.74308,                 1.2385,                0.69703,                0.69338,                0.74607,                0.29443,                  2.233,                 1.2093,                 1.8768,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.3575,                0.75967,                 1.2761,                0.75469,                0.61644,                0.69211,                0.27837,                 2.1608,                 1.4733,                 1.8479,               0.001307,               0.001307,               0.001307
                     73,                 1.3448,                0.80271,                 1.2518,                0.72433,                0.57534,                0.66141,                0.26666,                 2.2091,                  1.597,                 1.8525,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.3439,                0.79812,                 1.2876,                0.78954,                 0.6167,                0.72682,                0.25903,                 2.2044,                  1.465,                 1.8563,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.2341,                0.77898,                 1.2172,                0.71773,                0.65753,                0.68911,                 0.2677,                 2.1629,                 1.4439,                 1.8433,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.2289,                0.74007,                 1.2246,                0.78815,                0.50685,                0.60937,                0.25478,                 2.1216,                 1.6265,                 1.8477,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.2108,                0.72354,                 1.2533,                0.82864,                0.52999,                0.62046,                0.25904,                 2.1424,                 1.6108,                 1.8887,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.2578,                 0.7587,                 1.2345,                0.74099,                0.54866,                 0.6331,                0.26625,                 2.2009,                 1.6159,                 1.8867,              0.0012476,              0.0012476,              0.0012476
                     79,                  1.286,                0.75754,                  1.255,                0.74019,                0.58545,                0.59931,                0.26261,                 2.2518,                  1.595,                 1.8978,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.2132,                0.73643,                 1.2231,                0.69264,                0.52486,                0.56703,                0.25434,                  2.238,                 1.6861,                 1.9097,              0.0012278,              0.0012278,              0.0012278
                     81,                  1.222,                0.70411,                 1.2076,                 0.7574,                 0.4705,                0.57006,                0.26568,                  2.216,                 1.5937,                  1.883,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.1516,                0.71304,                 1.1943,                0.74766,                0.52055,                0.60404,                0.25179,                    2.3,                 1.7449,                 1.9542,               0.001208,               0.001208,               0.001208
                     83,                 1.1586,                 0.7307,                 1.2319,                0.79066,                0.52055,                0.62217,                0.25024,                 2.3053,                 1.7765,                 1.9914,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.1255,                0.67128,                 1.1566,                0.86696,                0.49315,                0.64002,                0.27138,                 2.2388,                 1.6297,                 1.9706,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.1514,                0.65382,                 1.1958,                0.72677,                0.61947,                0.68185,                0.28181,                 2.2394,                  1.581,                 1.9109,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.1351,                0.66852,                 1.1904,                 0.6958,                0.62669,                0.66144,                 0.2672,                 2.2574,                 1.6453,                 1.8798,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.1672,                0.70391,                 1.1841,                0.73897,                0.46536,                0.54784,                0.22542,                 2.3185,                 1.7656,                 1.9586,              0.0011585,              0.0011585,              0.0011585
                     88,                  1.197,                0.71235,                 1.1879,                0.65781,                0.44773,                 0.5046,                 0.2099,                 2.2974,                 1.7033,                 1.9261,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.1513,                0.73384,                 1.1903,                0.66303,                0.52055,                0.53746,                0.21541,                 2.2833,                 1.5393,                 1.9112,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.1914,                0.72337,                 1.1919,                0.57079,                0.60274,                0.60603,                0.22552,                 2.3083,                 1.5954,                 1.9529,              0.0011288,              0.0011288,              0.0011288
                     91,                  1.066,                0.68132,                 1.1492,                0.75161,                0.53425,                0.64521,                0.25625,                 2.2509,                 1.5379,                 1.9233,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.1652,                0.70361,                 1.2171,                0.76156,                0.52508,                0.61954,                0.25109,                 2.2403,                 1.5584,                 1.8835,               0.001109,               0.001109,               0.001109
                     93,                 1.1106,                0.70298,                 1.1896,                0.82528,                0.54795,                0.66091,                0.26739,                 2.2398,                 1.5221,                 1.8842,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.0882,                0.66184,                 1.1231,                0.73476,                0.58904,                0.68269,                 0.2546,                 2.2761,                 1.4093,                 2.0046,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.0728,                0.65386,                 1.1484,                 0.7346,                0.64457,                0.68749,                0.26731,                 2.2113,                 1.3683,                 1.9721,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.1651,                0.75605,                 1.1977,                0.66488,                0.65233,                0.67579,                0.27589,                  2.198,                 1.4122,                 1.9522,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.0281,                0.65098,                 1.1357,                0.68781,                0.60362,                0.67913,                0.26996,                 2.2161,                 1.4266,                 1.9886,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.0933,                0.65003,                 1.1072,                0.76731,                0.58727,                0.66316,                0.28249,                 2.2039,                 1.4036,                 1.9777,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.0603,                0.65648,                 1.1169,                0.79687,                0.59115,                0.67265,                0.29076,                 2.1601,                 1.3311,                 1.9151,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.0904,                0.67648,                 1.1745,                0.79619,                0.65753,                0.71719,                0.29631,                 2.1137,                 1.4181,                  1.792,              0.0010298,              0.0010298,              0.0010298
